Station Code,Name of Monitoring Location,State Name,Temp_Min,Temp_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,DOB_Max,Nitrate?N + Nitrite_N Min,Nitrate?N + Nitrite_N Max,Fecal Coliform_Min,Fecal Coliform_Max,Total Coliform_Min,Total Coliform_Max,Total Dissolved Solids_Min,Total Dissolved Solids_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max
26,"BORE WELL AT KANURUPANCHAYAT, VIJAYAWADA",ANDHRA PRADESH,24,24,7.28,7.4,2300,2390,2.2,2.4,3.15,3.77,3,3,11,21,1356,1480,0.38,0.44,BDL,BDL
1513,"BORE WELL AT AUTONAGAR, VIJAYAWADA.( IN THE R/O OF MR SATYANARAYANA PLOT NO:79 H.NO:74?1?7/2C,AUTONAGAR VIJAYAWADA)",ANDHRA PRADESH,24,24,7.07,7.86,2140,2210,2.2,2.2,1.38,3.42,3,4,13,20,1260,1328,0.32,0.36,BDL,BDL
1514,"BORE WELL AT AUTONAGAR, VIJAYAWADA.( IN THE R/O OF MR. VIJAYKUMAR)",ANDHRA PRADESH,25,25,-7.21,7.26,1996,2160,2,2.2,3.61,3.99,3,3,11,15,1178,1260,0.68,0.71,0.0019,0.0019
1516,"BOREWELL OF NAVLOKGARDENS, NELLORE TOWN",ANDHRA PRADESH,20,21,7.85,8.06,1270,1340,1.8,2,1.31,1.43,3,3,14,15,750,790,0.26,0.3,0.0027,0.0027
1517,"BOREWELL NEAR TUNGBHADRA RIVER, MAMIDALAPADU (V),KURNOOL (M)",ANDHRA PRADESH,21,24,7.2,7.5,2068,6410,1.2,1.2,3.12,6.91,9,9,53,53,1349,3846,0.5,1.2,BDL,BDL
1518,BOREWELL AT NANDYAL TOWN,ANDHRA PRADESH,23,25,6.5,7.4,6605,8350,1.2,1.2,2.86,33.62,5,5,40,40,4310,5012,0.6,1.4,BDL,BDL
1519,BOREWELL AT NAGIRI TOWN,ANDHRA PRADESH,25,25,6.5,6.9,1586,1638,BDL,BDL,5.98,9.63,8,8,62,62,952,1069,0.5,0.6,BDL,BDL
1520,BOREWELL NEAR SWARNAMUKHI RIVER ATSRIKALAHASTI TOWN,ANDHRA PRADESH,24,26,7,7.1,775,873,BDL,BDL,0.62,2.34,2,2,34,34,465,570,0.9,0.9,BDL,BDL
1521,"OPEN WELL NEAR RAMA TEMPLE, WARD NO.2, MINDI,VISAKHAPATNAM",ANDHRA PRADESH,26,27,7.57,7.71,1783,2370,1.4,2,9.5,10.29,4,4,64,75,1148,1540,0.23,0.3,0.0005,0.0005
1522,"OPEN WELL PEDDANUVVI,PONNADA (V), ETCHERLA (M)",ANDHRA PRADESH,22,30,7.23,7.77,742,1658,2.5,2.5,1.22,5.66,3,7,64,93,498,982,0.39,0.39,BDL,BDL
1523,BOREWELL NEAR M/S ANDHRA PRADESH,ANDHRA PRADESH,27,30,7.71,7.88,280,762,2,2,0.82,3.9,3,3,28,39,194,484,0.23,0.23,BDL,BDL
1524,OPEN WELL NEAR PARTAP NAGAR BRIDGE ? KAKINADATOWN,ANDHRA PRADESH,25,28,7.44,7.9,1080,1235,1.4,1.4,1.33,8.18,3,4,39,120,722,788,0.3,0.3,BDL,BDL
3087,"BOREWELL NEAR GRAMPANCHAYAT OFFICE, PATHAPADU (V), VIJAYAWADARURAL",ANDHRA PRADESH,24,24,7.25,7.78,2102,2413,1.8,2,1.51,1.95,3,4,14,20,1260,1430,0.56,0.62,BDL,BDL
3089,"HAND PUMP AT TANAM (V),PARAWADA (M)",ANDHRA PRADESH,27,28,5.75,7.27,1640,2740,2.3,2.3,8.74,9.81,3,3,39,64,1034,1680,0.48,0.58,BDL,BDL
3090,"HAND PUMP AT PITTAVANIPALEM (V),PARAWADA (M)",ANDHRA PRADESH,26,27,7.63,7.75,1167,1725,2.1,2.1,9.15,9.84,3,3,39,43,749,1120,BDL,BDL,BDL,BDL
3091,"BORE WELL AT KAPULUPPADADUMPSITE, VISHAKHAPATNAM",ANDHRA PRADESH,22,27,7.26,7.31,3290,3780,2.1,2.2,9.75,11.85,3,11,75,150,2234,2300,0.28,0.95,BDL,BDL
3092,"BORE WELL AT ARINAMAKKIVALASA (V), ETCHERLA (M)",ANDHRA PRADESH,24,30,7.42,8.03,1014,1389,2.2,2.2,7.94,8.71,3,4,21,64,680,880,0.99,0.99,BDL,BDL
