Station Code,Name of Monitoring Location,State Name,Temp_Min,Temp_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,DOB_Max,Nitrate?N + Nitrite_N Min,Nitrate?N + Nitrite_N Max,Fecal Coliform_Min,Fecal Coliform_Max,Total Coliform_Min,Total Coliform_Max,Total Dissolved Solids_Min,Total Dissolved Solids_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max,Drinkability
26,"BORE WELL AT KANURUPANCHAYAT, VIJAYAWADA",ANDHRA PRADESH,24.0,24.0,7.28,7.4,2300.0,2390.0,7.28,2.4,3.15,3.77,3.0,3.0,11.0,21.0,1356.0,1480.0,0.38,0.44,0.01,0.01,Not Drinkable
1513,"BORE WELL AT AUTONAGAR, VIJAYAWADA.( IN THE R/O OF MR SATYANARAYANA PLOT NO:79 H.NO:74?1?7/2C,AUTONAGAR VIJAYAWADA)",ANDHRA PRADESH,24.0,24.0,7.07,7.86,2140.0,2210.0,7.07,2.2,1.38,-3.42,3.0,4.0,13.0,20.0,1260.0,1328.0,0.32,0.36,0.01,0.01,Not Drinkable
1514,"BORE WELL AT AUTONAGAR, VIJAYAWADA.( IN THE R/O OF MR. VIJAYKUMAR)",ANDHRA PRADESH,25.0,25.0,-7.21,7.26,1996.0,2160.0,-7.21,2.2,3.61,3.99,3.0,3.0,11.0,15.0,1178.0,1260.0,0.68,0.71,0.0019,0.0019,Not Drinkable
1516,"BOREWELL OF NAVLOKGARDENS, NELLORE TOWN",ANDHRA PRADESH,20.0,21.0,7.85,8.06,1270.0,1340.0,7.85,2.0,1.31,1.43,3.0,3.0,14.0,15.0,750.0,790.0,0.26,0.3,0.0027,0.0027,Not Drinkable
1517,"BOREWELL NEAR TUNGBHADRA RIVER, MAMIDALAPADU (V),KURNOOL (M)",ANDHRA PRADESH,21.0,24.0,7.2,7.5,2068.0,6410.0,7.2,1.2,3.12,6.91,9.0,9.0,53.0,53.0,1349.0,3846.0,0.5,1.2,0.01,0.01,Not Drinkable
1518,BOREWELL AT NANDYAL TOWN,ANDHRA PRADESH,23.0,25.0,6.5,7.4,6605.0,8350.0,6.5,1.2,2.86,33.62,5.0,5.0,40.0,40.0,4310.0,5012.0,0.6,1.4,0.01,0.01,Not Drinkable
1519,BOREWELL AT NAGIRI TOWN,ANDHRA PRADESH,25.0,25.0,6.5,6.9,1586.0,1638.0,6.5,5.0,5.98,9.63,8.0,8.0,62.0,62.0,952.0,1069.0,0.5,0.6,0.01,0.01,Not Drinkable
1520,BOREWELL NEAR SWARNAMUKHI RIVER ATSRIKALAHASTI TOWN,ANDHRA PRADESH,24.0,26.0,7.0,7.1,775.0,873.0,7.0,5.0,0.62,2.34,2.0,2.0,34.0,34.0,465.0,570.0,0.9,0.9,0.01,0.01,Drinkable
1521,"OPEN WELL NEAR RAMA TEMPLE, WARD NO.2, MINDI,VISAKHAPATNAM",ANDHRA PRADESH,26.0,27.0,7.57,7.71,1783.0,2370.0,7.57,2.0,9.5,10.29,4.0,4.0,64.0,75.0,1148.0,1540.0,0.23,0.3,0.0005,0.0005,Not Drinkable
1522,"OPEN WELL PEDDANUVVI,PONNADA (V), ETCHERLA (M)",ANDHRA PRADESH,22.0,30.0,7.23,7.77,742.0,1658.0,7.23,2.5,1.22,5.66,3.0,7.0,64.0,93.0,498.0,982.0,0.39,0.39,0.01,0.01,Drinkable
1523,BOREWELL NEAR M/S ANDHRA PRADESH,ANDHRA PRADESH,27.0,30.0,7.71,7.88,280.0,762.0,7.71,2.0,0.82,3.9,3.0,3.0,28.0,39.0,194.0,484.0,0.23,0.23,0.01,0.01,Drinkable
1524,OPEN WELL NEAR PARTAP NAGAR BRIDGE ? KAKINADATOWN,ANDHRA PRADESH,25.0,28.0,7.44,7.9,1080.0,1235.0,7.44,1.4,1.33,8.18,3.0,4.0,39.0,120.0,722.0,788.0,0.3,0.3,0.01,0.01,Not Drinkable
3087,"BOREWELL NEAR GRAMPANCHAYAT OFFICE, PATHAPADU (V), VIJAYAWADARURAL",ANDHRA PRADESH,24.0,24.0,7.25,7.78,2102.0,2413.0,7.25,2.0,1.51,1.95,3.0,4.0,14.0,20.0,1260.0,1430.0,0.56,0.62,0.01,0.01,Not Drinkable
3089,"HAND PUMP AT TANAM (V),PARAWADA (M)",ANDHRA PRADESH,27.0,28.0,5.75,7.27,1640.0,2740.0,5.75,2.3,8.74,9.81,3.0,3.0,39.0,64.0,1034.0,1680.0,0.48,0.58,0.01,0.01,Not Drinkable
3090,"HAND PUMP AT PITTAVANIPALEM (V),PARAWADA (M)",ANDHRA PRADESH,26.0,27.0,7.63,7.75,1167.0,1725.0,7.63,2.1,9.15,9.84,3.0,3.0,39.0,43.0,749.0,1120.0,0.01,0.01,0.01,0.01,Not Drinkable
3091,"BORE WELL AT KAPULUPPADADUMPSITE, VISHAKHAPATNAM",ANDHRA PRADESH,22.0,27.0,7.26,7.31,3290.0,3780.0,7.26,2.2,9.75,11.85,3.0,11.0,75.0,150.0,2234.0,2300.0,0.28,0.95,0.01,0.01,Not Drinkable
3092,"BORE WELL AT ARINAMAKKIVALASA (V), ETCHERLA (M)",ANDHRA PRADESH,24.0,30.0,7.42,7.47,1014.0,1389.0,7.42,2.2,7.94,8.71,3.0,4.0,21.0,64.0,680.0,880.0,0.99,0.99,0.01,0.01,Not Drinkable
3093,"BORE WELL AT ALLADAPALEM(V), PUSAPATIREGA(M)",ANDHRA PRADESH,25.0,25.0,7.53,8.21,1156.0,1390.0,7.53,1.9,5.62,8.54,3.0,4.0,39.0,64.0,716.0,932.0,0.88,0.98,0.01,0.01,Not Drinkable
4350,"BOREWELL AT ZP HIGH SCHOOL, UDDANAM REGION, AMALAPADU (V),VAJRAPUKOTTURU (M)",ANDHRA PRADESH,24.0,32.0,7.23,7.69,695.0,1315.0,7.23,2.7,3.36,9.19,300.0,3.0,39.0,75.0,458.0,820.0,0.31,0.31,0.01,0.01,Drinkable
